newsletter_id,member_id,status,error_message
2,c09be717-06a3-bc87-1181-900a098b,ENRICHED,
2,5f3b9252-1aa1-aeca-9f7b-b434ea64,FAILED,invalid username
2,7c097bae-ff3c-8c19-74ff-0091306a,FAILED,format errors
2,7e6cc36c-4457-f329-522d-d2c3d282,ENRICHED,
2,9ed87780-9c48-7227-b1e8-c5145389,FAILED,missing information
2,eeb701f3-7e29-49fb-6e0d-cfcb8704,ENRICHED,
2,e054fc98-d03f-a893-8c28-e52ea2b2,FAILED,Data format issue
2,604edfa7-4339-b51f-59c5-d6b9589a,ENRICHED,
2,1e15a8c6-31bb-3008-71be-3fbe6a98,FAILED,invalid emails
2,40a1d64b-f4a9-6a8a-8958-23b902bf,ENRICHED,
2,816a31ff-ca60-7065-83ed-1320d0dc,FAILED,missing information
2,70a22f06-19bf-d1f1-df02-73a25a62,ENRICHED,
2,562783fb-c3a9-6a9b-1566-58d7c66b,FAILED,format errors
2,1aba2e3c-6f8a-7ded-0260-726cbf25,ENRICHED,
2,ba2ff995-f41d-9b53-2894-fd8a4e01,FAILED,invalid emails
2,141bbb19-fd09-5221-d418-7fbaf93d,ENRICHED,
2,5088808c-3eb0-5a7f-436f-b6b965be,FAILED,missing information
2,acc5f6c4-087e-29d6-c48b-016e8245,ENRICHED,
2,8531bce1-65bb-4892-d3cd-b4622701,FAILED,format errors
2,71d27276-3b6f-fb9d-4e9a-d6a166c3,ENRICHED,
2,209680fe-ca48-227e-e2aa-5657f7b5,FAILED,invalid username
2,c0a7fda9-b573-956d-60a5-dc2a3470,ENRICHED,
2,ae6f300e-2880-2239-6c72-dfa7d4c5,FAILED,missing information
2,a5d13f11-4e96-4334-dd74-d525acd8,ENRICHED,
2,ecbbd9cd-ca10-36d4-0a3a-6e101751,FAILED,Data format issue
2,19a98b71-f8dc-9695-3180-202e2dad,ENRICHED,
2,402d27ea-a121-c4be-ca44-24c63e22,FAILED,invalid emails
2,6e1aad64-8196-e386-eee8-13290251,ENRICHED,
2,4c3e6f07-002b-01d8-f79b-f8a6953f,FAILED,missing information
2,8d82959a-ef60-1925-7f8b-7e261556,ENRICHED,
2,daa179c9-1733-30c3-e6b0-2cbfcbe6,ENRICHED,
2,59c8233c-3c4f-5a73-da05-fff6b26d,ENRICHED,
2,5faedd6b-63a8-2065-a2ee-b136d20c,ENRICHED,
2,15ea7b61-2612-0642-2ef5-871c507a,ENRICHED,
2,9c93f013-e7a5-1fa7-fc22-effd8a65,ENRICHED,
2,ca2ea460-834d-d258-3957-85c09342,ENRICHED,
2,3431b4aa-4e02-969f-1614-6b092a72,ENRICHED,
2,35bb540e-d6b6-ca45-1244-31cbffa0,ENRICHED,
2,e14e4b76-548b-4d8e-557d-02db5b82,ENRICHED,
2,46332b8c-61bb-a8a5-86bd-41290c65,ENRICHED,
2,541cc2c6-9b3e-0be5-9f61-fa8b6f30,ENRICHED,
2,90f1ce9f-81cc-57ce-316a-400d8e8d,ENRICHED,
2,5e75555d-b0d2-2dea-17aa-5c4b3a8e,ENRICHED,
2,b8388f5b-c165-d791-52bb-2a04accc,ENRICHED,
2,e1a26e05-3839-7316-54f3-56e57165,ENRICHED,
2,83139f07-6061-2efb-33be-d0a7d1c7,ENRICHED,
2,1aa5036f-da8d-09b0-bf68-76298db3,ENRICHED,
2,2f50f904-aac2-04f7-039e-c2bd51c1,ENRICHED,
2,3a851ff9-632a-827b-21f1-35e39d3a,ENRICHED,
2,d3c67db7-d1ce-7fe4-a166-760fb50c,ENRICHED,
2,4be9a960-9305-38bc-65c4-b51c881c,ENRICHED,
2,a49cebae-0571-dcab-c34a-0400ddff,FAILED,invalid emails
2,ee0cbe44-9262-04f0-c348-2631a29e,FAILED,format errors
2,65a1b4e3-bbf9-f7c8-df22-9ee07a92,ENRICHED,
2,6b703af0-47bb-0218-1de4-bc189e42,FAILED,missing information
2,1601d8c0-b7c0-a8cd-2499-42a57df6,ENRICHED,
2,c0b83851-8dd7-5c2d-ada1-161f31d1,FAILED,format errors
2,df844066-ceba-2897-9d75-f91688aa,ENRICHED,
2,b2079ffc-4bf2-b12a-e711-ade40680,FAILED,invalid emails
2,ffa249aa-7213-cee4-1392-3ded81bb,ENRICHED,
2,93651eec-c805-823e-d2a8-4768c458,FAILED,missing information
2,dcf97b83-bd6c-c2be-f29c-bd56c8d2,ENRICHED,
2,bf4d1536-568c-97ef-be2a-65334c78,FAILED,format errors
2,ddc193ab-894e-f4c8-d5e6-5c94c025,ENRICHED,
2,45e74f3f-6b27-768d-9fe4-eabe78b3,FAILED,invalid emails
2,26765fc3-cbdf-0969-7ceb-7bcc9650,ENRICHED,
2,639d9f82-5444-08dd-51e2-5a38f340,FAILED,missing information
2,e8fd1f39-0190-14af-3b7a-df518ffa,ENRICHED,
2,174aae4a-dfdc-4918-5dab-0002fb67,FAILED,format errors
2,ce795292-7e29-019a-b95c-18683bc3,ENRICHED,
2,63268f02-4281-ccff-bd84-42c228ba,FAILED,invalid emails
2,af053eb7-50e1-b3de-a0e8-77b34c37,ENRICHED,
2,9838f3c3-cabb-e4a4-4907-a27c8356,FAILED,missing information
2,d4d684c9-d505-dcc4-3074-2088030c,ENRICHED,
2,8eaf1085-d368-3d66-7614-783a8662,FAILED,format errors
2,823f94ee-6faa-c3c6-1045-42886c53,ENRICHED,
2,fe3d82c2-9e66-4f11-5f83-9a71daf3,FAILED,invalid emails
2,1dbae0a0-42cf-07d3-39e3-8855d286,ENRICHED,
2,bcf4d0d3-0fdb-f11b-4600-d530e5f8,FAILED,missing information
2,fafd0bbf-8319-71a5-9e8f-9d3629c5,ENRICHED,
2,88e155db-e81d-5526-d83f-e7ed7a72,ENRICHED,
2,1e2f8875-6f3e-17cd-dd5b-2a635cab,ENRICHED,
2,05b5ae44-087d-e306-cbd0-0a374208,ENRICHED,
2,ed2d591b-cbb8-4ce0-1e95-adabb72e,ENRICHED,
2,b3d8f842-6ce9-7d6b-b1c1-fca0b383,ENRICHED,
2,9c27e4c2-f267-8575-c597-184edd0c,ENRICHED,
2,1dc07c6b-eb03-0d93-7077-6037a990,ENRICHED,
2,45ba1877-88e8-b8b8-6440-bcdb059a,ENRICHED,
2,23be91f4-05d3-abee-905e-8520ebfe,ENRICHED,
2,4464443e-69be-c99a-509d-e77a68c5,ENRICHED,
2,d9a6d56d-7d5f-bc00-322f-7c984288,ENRICHED,
2,3af36dbf-3008-920d-9d7b-b3e11c90,ENRICHED,
2,95120089-e9d2-1710-6539-f3f8e5bb,ENRICHED,
2,a4b30719-ac12-f3f6-8690-a91fcb5e,ENRICHED,
2,aae9fd5e-1484-3b9f-f10f-01c85b74,ENRICHED,
2,1bb83ef6-ac6c-4e48-b843-2447ffa3,ENRICHED,
2,97790358-bc50-0bb2-fa28-7b481c48,ENRICHED,
2,4d5a6178-6bb5-46d7-26bf-294af5b9,ENRICHED,
2,61bcd519-98de-296f-22c2-d5108ebe,ENRICHED,
2,d143f8ff-5b7e-9cb5-677f-440c254c,ENRICHED,
3,c09be717-06a3-bc87-1181-900a098b,ENRICHED,
3,5f3b9252-1aa1-aeca-9f7b-b434ea64,FAILED,invalid username
3,7c097bae-ff3c-8c19-74ff-0091306a,FAILED,format errors
3,7e6cc36c-4457-f329-522d-d2c3d282,ENRICHED,
3,9ed87780-9c48-7227-b1e8-c5145389,FAILED,missing information
3,eeb701f3-7e29-49fb-6e0d-cfcb8704,ENRICHED,
3,e054fc98-d03f-a893-8c28-e52ea2b2,FAILED,Data format issue
3,604edfa7-4339-b51f-59c5-d6b9589a,ENRICHED,
3,1e15a8c6-31bb-3008-71be-3fbe6a98,FAILED,invalid emails
3,40a1d64b-f4a9-6a8a-8958-23b902bf,ENRICHED,
3,816a31ff-ca60-7065-83ed-1320d0dc,FAILED,missing information
3,70a22f06-19bf-d1f1-df02-73a25a62,ENRICHED,
3,562783fb-c3a9-6a9b-1566-58d7c66b,FAILED,format errors
3,1aba2e3c-6f8a-7ded-0260-726cbf25,ENRICHED,
3,ba2ff995-f41d-9b53-2894-fd8a4e01,FAILED,invalid emails
3,141bbb19-fd09-5221-d418-7fbaf93d,ENRICHED,
3,5088808c-3eb0-5a7f-436f-b6b965be,FAILED,missing information
3,acc5f6c4-087e-29d6-c48b-016e8245,ENRICHED,
3,8531bce1-65bb-4892-d3cd-b4622701,FAILED,format errors
3,71d27276-3b6f-fb9d-4e9a-d6a166c3,ENRICHED,
3,209680fe-ca48-227e-e2aa-5657f7b5,FAILED,invalid emails
3,c0a7fda9-b573-956d-60a5-dc2a3470,ENRICHED,
3,ae6f300e-2880-2239-6c72-dfa7d4c5,FAILED,missing information
3,a5d13f11-4e96-4334-dd74-d525acd8,ENRICHED,
3,ecbbd9cd-ca10-36d4-0a3a-6e101751,FAILED,Data format issue
3,19a98b71-f8dc-9695-3180-202e2dad,ENRICHED,
3,402d27ea-a121-c4be-ca44-24c63e22,FAILED,invalid emails
3,6e1aad64-8196-e386-eee8-13290251,ENRICHED,
3,4c3e6f07-002b-01d8-f79b-f8a6953f,FAILED,missing information
3,8d82959a-ef60-1925-7f8b-7e261556,ENRICHED,
3,daa179c9-1733-30c3-e6b0-2cbfcbe6,ENRICHED,
3,59c8233c-3c4f-5a73-da05-fff6b26d,ENRICHED,
3,5faedd6b-63a8-2065-a2ee-b136d20c,ENRICHED,
3,15ea7b61-2612-0642-2ef5-871c507a,ENRICHED,
3,9c93f013-e7a5-1fa7-fc22-effd8a65,ENRICHED,
3,ca2ea460-834d-d258-3957-85c09342,ENRICHED,
3,3431b4aa-4e02-969f-1614-6b092a72,ENRICHED,
3,35bb540e-d6b6-ca45-1244-31cbffa0,ENRICHED,
3,e14e4b76-548b-4d8e-557d-02db5b82,ENRICHED,
3,46332b8c-61bb-a8a5-86bd-41290c65,ENRICHED,
3,541cc2c6-9b3e-0be5-9f61-fa8b6f30,ENRICHED,
3,90f1ce9f-81cc-57ce-316a-400d8e8d,ENRICHED,
3,5e75555d-b0d2-2dea-17aa-5c4b3a8e,ENRICHED,
3,b8388f5b-c165-d791-52bb-2a04accc,ENRICHED,
3,e1a26e05-3839-7316-54f3-56e57165,ENRICHED,
3,83139f07-6061-2efb-33be-d0a7d1c7,ENRICHED,
3,1aa5036f-da8d-09b0-bf68-76298db3,ENRICHED,
3,2f50f904-aac2-04f7-039e-c2bd51c1,ENRICHED,
3,3a851ff9-632a-827b-21f1-35e39d3a,ENRICHED,
3,d3c67db7-d1ce-7fe4-a166-760fb50c,ENRICHED,
3,4be9a960-9305-38bc-65c4-b51c881c,ENRICHED,
3,a49cebae-0571-dcab-c34a-0400ddff,FAILED,invalid emails
3,ee0cbe44-9262-04f0-c348-2631a29e,FAILED,format errors
3,65a1b4e3-bbf9-f7c8-df22-9ee07a92,ENRICHED,
3,6b703af0-47bb-0218-1de4-bc189e42,FAILED,missing information
3,1601d8c0-b7c0-a8cd-2499-42a57df6,ENRICHED,
3,c0b83851-8dd7-5c2d-ada1-161f31d1,FAILED,format errors
3,df844066-ceba-2897-9d75-f91688aa,ENRICHED,
3,b2079ffc-4bf2-b12a-e711-ade40680,FAILED,Data format issue
3,ffa249aa-7213-cee4-1392-3ded81bb,ENRICHED,
3,93651eec-c805-823e-d2a8-4768c458,FAILED,missing information
3,dcf97b83-bd6c-c2be-f29c-bd56c8d2,ENRICHED,
3,bf4d1536-568c-97ef-be2a-65334c78,FAILED,format errors
3,ddc193ab-894e-f4c8-d5e6-5c94c025,ENRICHED,
3,45e74f3f-6b27-768d-9fe4-eabe78b3,FAILED,invalid emails
3,26765fc3-cbdf-0969-7ceb-7bcc9650,ENRICHED,
3,639d9f82-5444-08dd-51e2-5a38f340,FAILED,missing information
3,e8fd1f39-0190-14af-3b7a-df518ffa,ENRICHED,
3,174aae4a-dfdc-4918-5dab-0002fb67,FAILED,Data format issue
3,ce795292-7e29-019a-b95c-18683bc3,ENRICHED,
3,63268f02-4281-ccff-bd84-42c228ba,FAILED,invalid emails
3,af053eb7-50e1-b3de-a0e8-77b34c37,ENRICHED,
3,9838f3c3-cabb-e4a4-4907-a27c8356,FAILED,missing information
3,d4d684c9-d505-dcc4-3074-2088030c,ENRICHED,
3,8eaf1085-d368-3d66-7614-783a8662,FAILED,format errors
3,823f94ee-6faa-c3c6-1045-42886c53,ENRICHED,
3,fe3d82c2-9e66-4f11-5f83-9a71daf3,FAILED,invalid emails
3,1dbae0a0-42cf-07d3-39e3-8855d286,ENRICHED,
3,bcf4d0d3-0fdb-f11b-4600-d530e5f8,FAILED,missing information
3,fafd0bbf-8319-71a5-9e8f-9d3629c5,ENRICHED,
1,c09be717-06a3-bc87-1181-900a098b,ENRICHED,
1,5f3b9252-1aa1-aeca-9f7b-b434ea64,FAILED,invalid emails
1,7c097bae-ff3c-8c19-74ff-0091306a,FAILED,format errors
1,7e6cc36c-4457-f329-522d-d2c3d282,ENRICHED,
1,9ed87780-9c48-7227-b1e8-c5145389,FAILED,missing information
1,eeb701f3-7e29-49fb-6e0d-cfcb8704,ENRICHED,
1,e054fc98-d03f-a893-8c28-e52ea2b2,FAILED,format errors
1,604edfa7-4339-b51f-59c5-d6b9589a,ENRICHED,
1,1e15a8c6-31bb-3008-71be-3fbe6a98,FAILED,invalid emails
1,40a1d64b-f4a9-6a8a-8958-23b902bf,ENRICHED,
1,816a31ff-ca60-7065-83ed-1320d0dc,FAILED,invalid username
1,70a22f06-19bf-d1f1-df02-73a25a62,ENRICHED,
1,562783fb-c3a9-6a9b-1566-58d7c66b,FAILED,format errors
1,1aba2e3c-6f8a-7ded-0260-726cbf25,ENRICHED,
1,ba2ff995-f41d-9b53-2894-fd8a4e01,FAILED,invalid emails
1,141bbb19-fd09-5221-d418-7fbaf93d,ENRICHED,
1,5088808c-3eb0-5a7f-436f-b6b965be,FAILED,missing information
1,acc5f6c4-087e-29d6-c48b-016e8245,ENRICHED,
1,8531bce1-65bb-4892-d3cd-b4622701,FAILED,format errors
1,71d27276-3b6f-fb9d-4e9a-d6a166c3,ENRICHED,
1,209680fe-ca48-227e-e2aa-5657f7b5,FAILED,Data format issue
1,c0a7fda9-b573-956d-60a5-dc2a3470,ENRICHED,
1,ae6f300e-2880-2239-6c72-dfa7d4c5,FAILED,missing information
1,a5d13f11-4e96-4334-dd74-d525acd8,ENRICHED,
1,ecbbd9cd-ca10-36d4-0a3a-6e101751,FAILED,Data format issue
1,19a98b71-f8dc-9695-3180-202e2dad,ENRICHED,
1,402d27ea-a121-c4be-ca44-24c63e22,FAILED,invalid emails
1,6e1aad64-8196-e386-eee8-13290251,ENRICHED,
1,4c3e6f07-002b-01d8-f79b-f8a6953f,FAILED,missing information
1,8d82959a-ef60-1925-7f8b-7e261556,ENRICHED,
1,daa179c9-1733-30c3-e6b0-2cbfcbe6,ENRICHED,
1,59c8233c-3c4f-5a73-da05-fff6b26d,ENRICHED,
1,5faedd6b-63a8-2065-a2ee-b136d20c,ENRICHED,
1,15ea7b61-2612-0642-2ef5-871c507a,ENRICHED,
1,9c93f013-e7a5-1fa7-fc22-effd8a65,ENRICHED,
1,ca2ea460-834d-d258-3957-85c09342,ENRICHED,
1,3431b4aa-4e02-969f-1614-6b092a72,ENRICHED,
1,35bb540e-d6b6-ca45-1244-31cbffa0,ENRICHED,
1,e14e4b76-548b-4d8e-557d-02db5b82,ENRICHED,
1,46332b8c-61bb-a8a5-86bd-41290c65,ENRICHED,
1,541cc2c6-9b3e-0be5-9f61-fa8b6f30,ENRICHED,
1,90f1ce9f-81cc-57ce-316a-400d8e8d,ENRICHED,
1,5e75555d-b0d2-2dea-17aa-5c4b3a8e,ENRICHED,
1,b8388f5b-c165-d791-52bb-2a04accc,ENRICHED,
1,e1a26e05-3839-7316-54f3-56e57165,ENRICHED,
1,83139f07-6061-2efb-33be-d0a7d1c7,ENRICHED,
1,1aa5036f-da8d-09b0-bf68-76298db3,ENRICHED,
